"국가",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"오스트리아",1546,1554,1676,1824,1855,1852,1903,1920,2046,2182,2418,2509,2627,2831,2730,2655,2867,2797,2893,3139,3067,2897,2830,2843,2954,3052,3062,3175,3205,3139,3240,3415,3246,3256,3234,3374,3580,3550,3607,3592,3570,3758,3774,3974,4008,4086,4079,4020,4032,3798,4051,3922,3887,3919,3763,3800
"벨라루스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4465,4348,3621,3077,2616,2428,2501,2505,2465,2412,2462,2486,2550,2644,2753,2769,2965,2918,2932,2791,2902,3101,3228,2888,2937,-
"벨기에",2519,2571,2810,3043,3022,3116,3051,3183,3590,3877,4135,4100,4474,4721,4617,4318,4622,4590,4827,4977,4743,4415,4208,4156,4335,4474,4634,4728,4771,4799,4810,5006,5041,4902,5186,5268,5536,5523,5603,5613,5669,5634,5391,5590,5593,5556,5470,5337,5455,5197,5539,5092,4845,4997,4708,4688
"보스니아-헤르체고비나",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1561,1403,1040,940,381,398,447,666,814,798,1040,1001,1050,1051,1161,1231,1306,1323,1512,1603,1701,1909,1819,1784,2191,-
"불가리아",-,-,-,-,-,-,-,-,-,-,-,2229,2263,2378,2463,2665,2780,2954,3084,3200,3204,3186,3309,3370,3387,3420,3451,3411,3488,3427,3237,2537,2396,2590,2520,2747,2746,2504,2426,2231,2277,2421,2411,2490,2441,2598,2691,2666,2649,2352,2417,2617,2513,2329,2478,-
"크로아티아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1981,1742,1635,1680,1629,1692,1771,1882,1945,1930,1877,2025,2082,2232,2231,2261,2248,2338,2280,2207,2185,2140,2021,1984,1898,-
"체코",-,-,-,-,-,-,-,-,-,-,-,4618,4614,4551,4195,4343,4438,4716,4430,4703,4557,4568,4634,4647,4741,4764,4840,4978,4876,4739,4797,4349,4222,4089,3963,4020,4153,4185,4057,3783,3988,4111,4163,4358,4460,4401,4492,4469,4331,4035,4238,4077,4054,3990,3915,3860
"덴마크",1923,2023,2296,2503,2600,2823,3067,3061,3204,3700,3971,3729,3859,3782,3490,3453,3746,3830,3895,4020,3735,3381,3422,3233,3353,3774,3824,3820,3642,3414,3377,3735,3562,3646,3761,3706,4170,3848,3772,3603,3490,3584,3535,3728,3597,3488,3728,3623,3502,3329,3511,3230,3092,3125,2873,2817
"에스토니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6233,5841,4283,3639,3752,3624,4043,4011,3695,3463,3375,3542,3416,3798,3893,3846,3775,4244,4105,3649,4223,4238,4174,4623,4593,4173
"유로지역",1404,1456,1569,1689,1766,1821,1869,1945,2096,2265,2749,2785,2923,3110,3068,2934,3144,3108,3227,3356,3293,3183,3073,3096,3201,3298,3330,3400,3428,3491,3490,3529,3441,3406,3389,3498,3605,3594,3649,3637,3672,3758,3743,3803,3837,3827,3819,3739,3712,3495,3609,3469,3428,3387,3249,3329
"핀란드",2197,2253,2362,2479,2678,2888,3065,3126,3343,3669,3872,3939,4188,4508,4384,4182,4460,4516,4665,4964,5147,4935,4805,4824,4911,5270,5483,5961,5590,5754,5692,5743,5381,5617,5973,5662,6070,6277,6319,6284,6262,6411,6729,7077,7135,6562,7112,6975,6669,6268,6829,6538,6276,6116,6213,5925
