"국가별",2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"국가별",전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타
"미국",4306371,2985891,290113,822004,169713,15872,22778,4340371,2995556,281527,830584,183892,25764,23048,4317159,2962870,271129,830288,192992,35635,24245,4322038,2886040,292113,839918,229471,50334,24162,4286429,2770054,325114,838861,257249,70980,24170,4455439,2912041,317004,841329,275834,85184,24046,4391761,2818743,310571,843330,298200,97478,23438,4260044,2643838,308213,823150,341818,119329,23696,4374676,2731127,274096,811551,382814,151324,23764,-,-,-,-,-,-,-
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아르헨티나",140868,100763,33422,6207,461,15,-,138551,90825,41335,5756,619,16,-,145363,96159,41451,7139,599,15,-,146353,99479,38028,8285,547,14,-,145618,97257,41645,6088,612,16,-,152224,102820,41430,6453,1413,108,-,145990,95389,36878,7927,4996,800,-,144924,99199,24262,10707,9412,1345,-,153779,107628,20186,10831,12938,2196,-,146315,97688,23580,7955,14164,2928,-
"볼리비아",7839,5300,2535,-,1,3,-,8304,6039,2251,-,8,6,-,9032,6552,2463,-,12,5,-,9307,7546,1720,-,35,6,-,9617,7317,2234,-,60,6,-,9855,7056,2612,-,59,127,-,10172,6663,3251,-,70,188,-,9977,6638,2942,-,64,332,-,10834,7127,3237,-,120,351,-,-,-,-,-,-,-,-
"브라질",570838,157810,390992,15450,6579,7,-,590542,189498,373439,15378,12211,16,-,581228,185066,359743,14734,21626,59,-,578897,148549,380911,15864,33488,85,-,589326,159476,370906,15739,42373,832,-,601396,144815,388971,15674,48475,3461,-,626329,149682,397877,16129,55986,6655,-,621198,143017,396328,14053,57050,10750,-,656109,189301,362818,14705,72286,16752,247,-,-,-,-,-,-,-
"칠레",73065,52602,19737,-,554,8,164,70753,45440,23099,-,1443,480,291,75414,48157,23881,-,2115,1261,-,79335,50973,23274,-,2449,2639,-,79443,50628,21315,-,3521,3915,64,82339,49952,23367,-,3588,5218,214,84558,50564,22477,-,4897,6419,202,83994,48331,21873,-,5602,7971,216,88019,50154,19348,-,7628,10565,324,-,-,-,-,-,-,-
"콜롬비아",74001,23675,50260,-,58,8,-,72886,27936,44881,-,70,-,-,75139,30272,44798,-,68,-,-,74574,27605,46918,-,51,-,-,75125,17641,57476,-,3,5,-,78426,21563,56809,-,43,11,-,80415,25622,54594,-,63,137,-,79550,29361,49977,-,10,201,-,84428,23337,60696,-,60,335,-,-,-,-,-,-,-,-
"코스타리카",10234,1379,6851,-,485,2,1517,10216,1224,6717,-,735,2,1538,10812,287,8067,-,1080,3,1376,10932,389,8026,-,1147,30,1340,11359,237,8677,-,1288,40,1118,11528,358,8343,-,1799,60,969,11508,295,7827,-,1796,77,1513,11730,217,8294,-,1459,70,1689,12737,194,9286,-,1573,82,1602,-,-,-,-,-,-,-
"쿠바",19156,19004,127,-,23,3,-,19366,19225,104,-,19,18,-,20288,20190,48,-,21,29,-,20459,20334,64,-,21,39,-,20558,20394,83,-,21,60,-,20837,20524,146,-,44,124,-,20706,20331,125,-,65,186,-,19071,18698,112,-,68,193,-,17966,17581,120,-,69,196,-,15732,15370,120,-,63,179,-
"도미니카공화국",17648,15521,1875,-,243,9,-,17167,15634,1271,-,243,18,-,17922,16654,945,-,290,32,-,18690,16773,1519,-,323,75,-,19036,16309,2196,-,390,140,-,19651,17144,1780,-,497,230,-,19857,18121,928,-,552,256,-,19293,16544,1176,-,1139,434,-,21314,17865,1859,-,1231,358,-,-,-,-,-,-,-,-
