"국가",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"콩고민주공화국",38391,37013,37140,38620,40133,40177,35676,35668,36667,34781,34138,36250,41653,45142,47080,47184,48148,45682,47709,47751,49865,49286,47471,50963,52891,52646,52491,55524,53561,55443,56120
"코트디부아르",9028,11738,14378,17061,19891,20600,21542,23055,23399,25596,25737,25490,25936,23262,21659,23007,22053,21356,21009,19575,19242,18871,20450,21931,21811,22619,24078,24648,24551,25647,26412
"지부티",912,934,955,973,985,1054,1069,1119,1200,1234,1222,1230,1257,1278,1269,1308,1306,1349,1359,1357,1415,1376,1406,1478,1330,1382,1341,1350,1368,1388,1395
"이집트",138197,143662,146171,151742,147995,157510,164887,173535,179274,188736,187899,200791,206143,211276,224220,244648,255609,270581,279821,286972,289376,296697,307219,304353,310051,316218,327456,337742,331357,307453,299779
"적도기니",179,326,2079,2261,2430,2615,2973,4546,5796,7441,6705,8968,8248,9383,13196,13658,13535,14205,13329,12693,12842,12207,11883,11740,13757,12674,12361,11335,10907,10293,9543
"에리트레아",3678,3690,4405,3975,4162,4282,4839,5337,5283,5446,5541,5271,5219,5362,5404,5387,5192,5490,5431,5476,5413,5719,5786,5808,5849,5864,5935,5994,6130,6179,6242
"에스와티니",2831,2856,2718,2437,3117,3106,2836,2851,2864,2914,2737,2646,2661,2655,2646,2671,2610,2722,2697,2723,2596,2569,2578,2755,2784,2803,2896,2898,2925,3052,3001
"에티오피아",66869,67267,68107,62226,63430,64228,67530,69689,75528,75095,72193,75986,85285,83434,85583,88879,93801,103681,107780,112227,116923,116513,122116,126732,133088,136450,142550,145745,148724,159695,167300
"가봉",12620,13774,13807,13981,15174,16437,17396,17340,18357,17203,16494,16445,15758,17187,16704,16314,14905,14211,14843,14663,15517,15465,15095,15167,15495,15884,16279,14609,14021,15094,14849
"감비아",4275,4431,4542,4662,4196,3723,3465,3119,2875,2554,2289,2071,1846,1752,1662,1525,1614,1665,1807,2164,2208,1895,1976,2043,2181,2405,2297,2345,2214,2391,2453
"가나",11517,11567,11985,12132,12408,12776,13710,14557,17304,16602,16828,16156,17414,17917,16763,19047,20233,20477,20293,21483,23142,25097,26905,29002,28547,30251,30665,32493,34131,36070,39070
"기니",8285,8601,8931,9290,9703,10117,9605,9913,10920,10692,11373,12294,13442,13582,13618,15052,15351,15758,16334,16844,19134,20420,21659,21728,22242,22731,25596,26121,26413,28654,29746
"기니비사우",1407,1417,1454,1486,1510,1542,1472,1461,1438,1569,1536,1823,1873,1919,1838,1777,1952,1978,1892,2019,2110,2110,2286,2247,2244,2375,2362,2381,2489,2515,2547
"케냐",35102,33825,33807,33571,33918,34206,33554,33180,34507,36434,35347,34714,35593,36601,39146,39566,39979,56561,57645,58120,59567,61508,60591,61499,64589,66551,71984,69775,70818,78594,80188
"레소토",2968,3017,3227,3235,3236,3194,3211,3326,3150,3696,3640,3639,3486,3567,3539,3734,3701,3792,3759,3880,3922,4693,4734,3920,4047,3836,3792,4228,3952,3846,4014
"라이베리아",843,726,759,749,741,749,757,816,876,791,828,849,843,903,986,1090,1164,1163,1097,1359,1385,1540,1671,1640,2027,2214,2252,2131,2015,2142,2155
"리비아",80127,84389,75888,83599,97770,105856,108691,101099,100720,98659,102689,98937,98303,107033,110330,119486,121779,117702,122300,119681,126229,70057,124549,108118,92389,82792,79814,100218,109311,114301,75370
"마다가스카르",25037,25064,25325,25708,25469,25920,25982,25867,26809,26449,25877,24733,22468,24919,23702,27368,26257,27838,26782,27474,27668,27517,28805,27451,27687,27760,29175,28082,29201,30834,30566
"말라위",3264,3442,3447,3588,3198,3403,3588,3610,3795,3824,3964,3786,4144,4376,4393,4468,4735,5168,5689,5766,6370,6677,6924,7295,7791,8205,8445,9125,10530,11765,11982
"말리",15402,15348,15418,15659,15947,16325,17344,17683,18897,20283,20910,20458,20941,21717,24069,24850,25013,26029,27636,27377,29096,29835,30826,32020,33161,34417,37816,38486,39735,41162,43492
"모리타니",6581,6796,6637,6832,6738,6813,7355,7651,7945,8522,8953,9063,9147,9320,9347,9496,9870,10130,9536,10323,10904,11006,11418,11352,11946,12623,12257,13221,13590,13997,14056
"모리셔스",2305,2402,2494,2648,2721,2782,2955,3063,3341,3868,4312,4417,4434,4623,4651,4839,5269,5410,5517,5511,5787,5835,5994,6124,6329,6376,6527,6726,6740,6846,6436
"모로코",36790,38117,39209,38903,42019,42717,43382,45291,46197,48367,49443,52991,54513,54493,59118,62104,64055,64801,67297,67337,70743,75695,77499,77994,79185,81361,80138,84414,85788,92532,88028
"모잠비크",18384,18660,19311,20033,20323,20568,20428,19160,21574,20815,20049,21862,23812,24564,24375,26244,25228,25818,27204,25017,27104,27096,28780,30221,31337,30963,31813,32115,34533,34717,33749
"나미비아",-,9254,9207,9176,9378,9482,9357,9201,9867,9866,10654,10749,9357,10009,10492,11088,12383,11726,10320,13237,12644,17622,19168,12347,11601,11658,12319,12377,11617,10789,13560
"니제르",12826,13289,13781,14437,14934,15520,16297,17017,17820,18528,19006,19851,20640,21541,22400,23298,24227,25430,26650,27988,28101,29123,31161,32934,34641,35844,37526,38958,40818,42750,44796
"나이지리아",233669,250359,266053,263368,258652,262613,281096,275474,256050,245185,256055,263675,246031,267051,269533,273893,262406,252092,256599,244088,271563,280956,284112,296354,306117,299724,307195,311186,320861,332247,322337
"르완다",2745,2722,2654,2573,2402,2571,2772,3127,3118,3362,3199,3357,3579,3689,3801,3859,4140,4269,4480,4612,4891,4781,4943,5124,5125,5806,5704,5904,6106,6338,6330
"상투메프린시페",60,61,59,60,62,63,64,64,68,68,72,73,79,87,96,102,103,105,112,119,128,126,146,151,150,155,161,169,173,176,180
"세네갈",12411,12703,13147,13393,13720,13996,15026,15233,15480,16695,17764,17535,16990,16298,18387,19073,19448,19590,20527,21029,22096,23085,22606,23798,24473,25225,27524,27718,28041,31082,30293
"세이셸",218,242,244,258,279,277,315,359,378,396,384,413,444,436,478,478,489,508,524,557,556,526,547,541,591,640,712,723,761,760,770
"시에라리온",3104,3101,3098,3185,3172,2953,2701,2622,2574,2373,2442,2805,3157,3662,3998,4127,5095,4442,4212,4517,4535,5063,5844,5937,6329,6150,6409,6324,6818,5873,5952
"소말리아",24534,21646,19700,21679,23623,24280,24726,25117,24954,25026,25198,25740,26136,26367,26667,27110,25838,24734,24761,24788,24992,25151,25442,25565,25700,25761,25788,25630,25618,26122,26272
"남아프리카공화국",327849,323958,320280,330557,337263,349908,360133,375840,383356,363898,368778,402758,417929,441354,469863,469919,472758,493820,527036,505538,528518,512737,532765,542755,554961,530523,530872,544359,548101,555409,501521
"남수단",27695,28552,30940,32828,34797,35486,38940,41981,45748,48538,52686,50862,54718,57390,59842,62994,62355,66080,67108,69259,68562,65005,50364,50173,51608,52512,53345,51337,56398,49181,56051
"수단",48809,49671,53322,55278,59963,60929,63740,66995,70183,72993,77778,73865,79015,80929,83857,88417,88458,93341,93597,95546,93567,96377,97894,98744,99731,103119,106239,105920,106861,107177,107114
"탄자니아",39163,39444,39560,40182,40919,45086,43409,43028,46566,47591,45589,46989,51527,56074,56193,59487,57074,59542,61634,62266,65993,69312,72663,76461,76899,80273,80421,79828,81073,86308,89255
"토고",3542,3375,3071,2945,3220,3181,3725,3458,4313,4622,4388,4107,4551,5164,4887,5756,5199,4901,5241,6731,6562,7048,6596,6485,6230,6973,7365,7198,7569,7932,8395
"튀니지",21699,22701,24026,24238,23943,24441,25823,26342,27782,29280,30634,31522,31717,31514,32859,33573,34715,36299,36774,37090,39562,38042,40624,39889,42428,42883,41626,41921,42464,42600,40883
"우간다",13173,13634,13883,14224,13880,14497,15148,16058,17304,16799,17089,17386,18125,19838,19797,21767,20349,23042,29208,29537,30982,31247,32797,32743,33744,35408,35498,36253,37555,38185,39280
"잠비아",25448,25816,25971,25524,24802,24581,22814,23607,25328,23609,22880,23412,25692,28044,28115,29370,26942,27461,27881,26839,29281,28979,32642,33446,33505,34395,34413,34743,35738,36610,36108
"짐바브웨",31983,32267,33098,29543,29264,29086,31097,30040,31274,33769,31040,31341,28720,26373,26414,27103,26107,26562,24718,25467,28229,30639,30656,30631,28858,30252,27929,27709,29374,28697,25988
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아",490531,491239,492143,494326,500143,508464,508247,515796,544401,581899,606861,635530,630235,550563,608926,571057,613750,617773,590311,605112,589473,690002,690402,604286,621420,622093,600643,647518,642276,613605,571903
"피지",1727,1749,1795,1853,1898,1961,2011,1991,1951,1930,1964,2203,2026,2141,2462,2208,2327,2266,2027,1906,2263,2193,2137,2220,1796,1874,1805,1995,2077,2188,1764
"키리바시",40,41,42,46,44,47,52,51,50,51,55,55,65,68,73,84,91,82,88,83,79,80,84,90,87,89,85,102,103,104,89
"마셜제도",25,26,107,112,117,122,123,123,126,127,135,139,149,147,152,152,159,166,168,172,176,178,177,181,184,188,191,196,201,205,165
"미크로네시아",8,8,148,158,171,248,255,265,278,263,252,239,223,234,215,187,186,202,184,221,174,192,206,214,217,223,227,227,230,233,194
"나우루",130,131,125,119,116,113,106,107,104,98,93,85,83,73,69,67,49,46,47,45,48,45,47,52,56,60,58,61,60,59,47
"뉴질랜드",71128,70788,71628,70820,72291,73532,73931,76455,74779,77035,77212,79898,81063,83585,82970,84375,84525,83401,83368,80494,80643,80101,82554,82181,82811,82190,80797,82415,81807,83180,80158
"팔라우",13,13,211,212,213,212,214,217,219,220,228,233,235,234,236,245,248,243,233,225,236,235,245,245,243,227,236,244,245,253,196
"파푸아뉴기니",6317,7322,8366,9431,10309,11504,11329,11498,11399,11223,11297,11773,12004,12320,12907,12140,12284,12527,12566,12928,12945,13934,14634,15851,17504,19094,19066,19158,20065,20327,18398
"사모아",332,342,343,357,383,393,409,408,428,429,435,463,472,474,483,488,487,489,471,487,519,533,542,546,559,600,595,595,599,580,539
"솔로몬제도",383,398,412,428,445,458,475,490,504,521,538,554,573,593,620,637,657,678,698,718,738,766,783,833,801,780,801,825,858,890,835
"통가",254,260,250,259,263,259,235,241,236,250,235,227,235,257,251,252,270,256,265,276,256,246,250,256,256,254,269,280,282,311,268
"투발루",17,18,19,19,20,20,18,19,23,19,20,22,21,21,21,21,23,26,22,23,23,23,23,22,22,21,22,22,23,24,22
"바누아투",482,496,517,544,551,556,578,583,580,590,569,553,545,568,552,563,573,694,699,694,709,732,726,725,781,706,638,646,681,643,589
